material_a,material_b,ground_truth,reason,critical_conflict,category
NEC-BRG-23938,NEC-B-B4CDCD1E,REQUIRES_ENGINEERING_REVIEW,Mismatched conditionally critical attribute,seal_type (Conditional),CAT-BRG
NEC-INS-86793,NEC-B-05BB42CA,NOT_EQUIVALENT,"Same category, critical attribute conflict",NONE,CAT-INS
NEC-FLG-19310,NEC-B-D473EE8B,NOT_EQUIVALENT,Completely different category,CATEGORY_MISMATCH,CAT-FLG
CPI-FLG-62441,CPI-B-4072D824,NOT_EQUIVALENT,"Same category, critical attribute conflict",NONE,CAT-FLG
GME-CFL-47123,GME-B-A56D9EE7,RELATED,"Same category/mfg, different size/specs",NONE,CAT-GSK
GME-BRG-68690,GME-B-C4B36C56,REQUIRES_ENGINEERING_REVIEW,Mismatched conditionally critical attribute,seal_type (Conditional),CAT-BRG
CPI-CFL-57275,CPI-B-FA7967CE,NEAR_DUPLICATE,"Identical MPN, perturbed desc, dropped minor field",NONE,CAT-ELC
GME-DUP-22041,GME-B-83919DA1,NOT_EQUIVALENT,Completely different category,CATEGORY_MISMATCH,CAT-PPE
NEC-VLV-54591,NEC-B-B44E6D97,NOT_EQUIVALENT,"Same category, critical attribute conflict",pressure_class,CAT-VLV
CPI-DUP-15794,CPI-B-64F32966,FUNCTIONALLY_EQUIVALENT,"Different Manufacturer/MPN, identical critical attributes",NONE,CAT-VLV
AHM-DUP-46518,AHM-B-5CB597AB,NOT_EQUIVALENT,"Same category, critical attribute conflict",NONE,CAT-CBL
CPI-VLV-23397,CPI-B-9A3887C5,FUNCTIONALLY_EQUIVALENT,"Different Manufacturer/MPN, identical critical attributes",NONE,CAT-VLV
CPI-LUB-79228,CPI-B-7D04066A,FUNCTIONALLY_EQUIVALENT,"Different Manufacturer/MPN, identical critical attributes",NONE,CAT-LUB
GME-BRG-79732,GME-B-346EC3E4,REQUIRES_ENGINEERING_REVIEW,Mismatched conditionally critical attribute,seal_type (Conditional),CAT-BRG
CPI-DUP-83181,CPI-B-26D42BF2,EXACT_DUPLICATE,"Identical MPN/Attributes, perturbed description",NONE,CAT-LUB
BUS-PPE-76837,BUS-B-AB47AECA,EXACT_DUPLICATE,"Identical MPN/Attributes, perturbed description",NONE,CAT-PPE
BUS-PIP-91414,BUS-B-1DB072E0,RELATED,"Same category/mfg, different size/specs",NONE,CAT-PIP
CPI-PPE-33108,CPI-B-EF77A467,NOT_EQUIVALENT,"Same category, critical attribute conflict",NONE,CAT-PPE
BUS-ELC-50695,BUS-B-1F365256,EXACT_DUPLICATE,"Identical MPN/Attributes, perturbed description",NONE,CAT-ELC
GME-CFL-73570,GME-B-5ABC1950,FUNCTIONALLY_EQUIVALENT,"Different Manufacturer/MPN, identical critical attributes",NONE,CAT-FLG
CPI-ELC-42381,CPI-B-782727D5,NOT_EQUIVALENT,Completely different category,CATEGORY_MISMATCH,CAT-ELC
AHM-GSK-86463,AHM-B-E73D5908,NOT_EQUIVALENT,Completely different category,CATEGORY_MISMATCH,CAT-GSK
BUS-BRG-84381,BUS-B-522E6C22,REQUIRES_ENGINEERING_REVIEW,Mismatched conditionally critical attribute,seal_type (Conditional),CAT-BRG
AHM-BRG-38374,AHM-B-C559F199,REQUIRES_ENGINEERING_REVIEW,Mismatched conditionally critical attribute,seal_type (Conditional),CAT-BRG
GME-PPE-69716,GME-B-59C6965C,FUNCTIONALLY_EQUIVALENT,"Different Manufacturer/MPN, identical critical attributes",NONE,CAT-PPE
CPI-BRG-18637,CPI-B-C2C2DF02,REQUIRES_ENGINEERING_REVIEW,Mismatched conditionally critical attribute,seal_type (Conditional),CAT-BRG
NEC-BRG-45334,NEC-B-1300DD1C,REQUIRES_ENGINEERING_REVIEW,Mismatched conditionally critical attribute,seal_type (Conditional),CAT-BRG
BUS-LUB-96772,BUS-B-A5311467,RELATED,"Same category/mfg, different size/specs",NONE,CAT-LUB
CPI-DUP-47996,CPI-B-BB7F4E7B,EXACT_DUPLICATE,"Identical MPN/Attributes, perturbed description",NONE,CAT-VLV
CPI-BRG-95707,CPI-B-4B7B071B,NEAR_DUPLICATE,"Identical MPN, perturbed desc, dropped minor field",NONE,CAT-BRG
